// Compost colors for createfood. You may add your own colors, change existing ones, or remove colors that aren't needed.
apple_cheesecake, #ff9b64
hot_white_chocolate_bucket, #c9c0b5
ice_cream_bowl, #bfa472
ice_cream_bucket, #dad4c8
ice_cream_cone, #ffe1a5
ice_cream_sandwich, #9a5228
ice_cream_sandwich_neapolitan, #8d4015
ice_cream_stick, #9b8455
kelp_roll_beetroot, #525c48
kelp_roll_brown_mushroom, #555f4a
kelp_roll_crimson_fungus, #575f48
kelp_roll_fish, #575f4a
kelp_roll_lettuce, #54614a
kelp_roll_onion, #57624d
kelp_roll_red_mushroom, #575e48
kelp_roll_rice, #626c58
kelp_roll_slice_beetroot, #7f7d6b
kelp_roll_slice_brown_mushroom, #82846f
kelp_roll_slice_crimson_fungus, #80806b
kelp_roll_slice_fish, #84836f
kelp_roll_slice_lettuce, #7a876c
kelp_roll_slice_onion, #848c76
kelp_roll_slice_red_mushroom, #847f6c
kelp_roll_slice_rice, #878e79
kelp_roll_slice_tomato, #86826e
kelp_roll_slice_warped_fungus, #7a836e
kelp_roll_tomato, #575c48
kelp_roll_warped_fungus, #545f4a
kelp_soup_bowl, #84692f
kelp_soup_bucket, #bcac8d
leather_soup_bowl, #916e30
leather_soup_bucket, #b8a893
light_blue_gelatin_dessert_slice, #c3ffff
light_blue_gelatin_mix_bucket, #b1c2c8
light_gray_gelatin_dessert_slice, #ccccc3
light_gray_gelatin_mix_bucket, #a8a8a7
lime_gelatin_dessert_slice, #9ef526
lime_gelatin_mix_bucket, #9ea594
liquid_cheese_bucket, #cabc96
macaroni, #f1bc4a
macaroni_bowl, #a57c25
macaroni_bowl_bacon, #a57228
macaroni_bowl_cheese, #bc871e
macaroni_bowl_cheese_bacon, #b87a23
macaroni_bowl_cheese_sausage, #a87316
macaroni_bowl_sausage, #97691c
magenta_gelatin_dessert_slice, #e776de
magenta_gelatin_mix_bucket, #ab98aa
magma_cream_marshmallow, #d9a22f
magma_cream_marshmallow_stick, #cda219
marshmallow, #ffffff
marshmallow_butterscotch_fudge, #ffc376
marshmallow_caramel_fudge, #ff7616
marshmallow_chocolate, #da786c
marshmallow_chocolate_fudge, #ac572a
marshmallow_coffee_toffee_fudge, #783700
marshmallow_dark_chocolate, #7c4a37
marshmallow_dark_chocolate_fudge, #843711
marshmallow_hot_chocolate_bottle, #ebdce6
marshmallow_hot_dark_chocolate_bottle, #dad0dc
marshmallow_hot_white_chocolate_bottle, #ffffff
marshmallow_stick, #f1e1c3
marshmallow_toffee_fudge, #c0653c
marshmallow_white_chocolate, #ffe3be
marshmallow_white_chocolate_fudge, #ffe8b9
mashed_potatoes_bowl, #a88748
mashed_potatoes_bowl_bacon, #a27f41
mashed_potatoes_bowl_cheese, #b9892f
mashed_potatoes_bowl_mushroom, #a57a41
mashed_potatoes_bowl_sour_cream, #b59454
meat_pie, #ffcd70
meat_pie_filling, #aa5144
meat_pie_slice, #f58e3d
melon_cream_cake, #ff6e6c
melon_cream_cake_slice, #f86657
melon_cream_chocolate, #d6615e
melon_cream_chocolate_cupcake, #de7c84
melon_cream_chocolate_donut, #ea726b
melon_cream_chocolate_pastry, #b56c2a
melon_cream_chocolate_sweet_roll, #ff6872
melon_cream_cupcake, #ff9d98
melon_cream_dark_chocolate, #7d362d
melon_cream_donut, #ff8a6e
melon_cream_frosting_bottle, #ffc5e4
melon_cream_frosting_bucket, #e4abb5
melon_cream_frosting_piping_bag, #ff8ca4
melon_cream_mini_waffle, #ffa289
melon_cream_pastry, #ffa43d
melon_cream_sweet_roll, #ff8079
melon_cream_white_chocolate, #ffc5ab
melon_custard_bottle, #fcaec3
melon_custard_bucket, #d2949a
melon_ice_cream_bowl, #cc7f70
melon_ice_cream_bucket, #e3b4c0
melon_ice_cream_cone, #ffa797
melon_ice_cream_sandwich, #a44b26
melon_ice_cream_stick, #a5725a
melon_jam_bottle, #ffebfa
melon_jam_bucket, #daabb5
melon_jam_chocolate_donut, #a7612f
melon_jam_donut, #ff9834
melon_jam_sandwich, #cc8940
melon_milkshake_bottle, #f4b9de
melon_milkshake_bucket, #c89ea4
meringue_bowl, #b8a07a
meringue_bucket, #dcd7d4
meringue_cookie, #ffffff
milk_powder, #ffffff
milkshake_bottle, #ffffff
milkshake_bucket, #d6cfca
minced_dragon, #6e3d98
mini_chocolate_graham_cracker_pie_crust, #914b36
mini_chocolate_pie_graham_cracker, #d26423
mini_cookie_cream_pie, #cc9883
mini_cream_pie_chocolate_graham_cracker, #d4a490
mini_cream_pie_graham_cracker, #f8ae7a
mini_graham_cracker_pie_crust, #cc5c14
mini_smores_pie, #dd7830
mini_waffle, #fa9340
mixed_salad_beetroot_carrot, #a45e22
molasses_bottle, #af9391
molasses_bucket, #a08e86
mozzarella_sticks, #cd793c
muffin_base, #e67304
muffin_batter_bucket, #ead9c6
mushroom_bacon_pizza, #f8b550
mushroom_bacon_pizza_slice, #e4a844
mushroom_burrito_rice, #f2be76
mushroom_calzone, #ee9643
mushroom_cream_soup_bowl, #9d5c28
mushroom_cream_soup_bucket, #c9a796
mushroom_fish_pizza, #fabc5f
mushroom_fish_pizza_slice, #e3ac51
mushroom_onion_pizza, #ffc36b
mushroom_onion_pizza_slice, #e8b15a
mushroom_pizza, #f8b857
mushroom_pizza_slice, #eaae44
mushroom_rice_bowl, #986832
mushroom_taco, #edb169
mushroom_taco_lettuce, #cdb161
mushroom_taco_lettuce_taco_sauce, #daaa64
mushroom_wrap_lettuce_potato, #e3be6c
mutton_burrito_rice, #e8b570
mutton_calzone, #ee9643
mutton_sandwich, #b87f36
mutton_sandwich_beetroot, #bc7a37
mutton_stew_bowl, #9e682a
mutton_stew_bucket, #c3ac94
mutton_taco, #d79e5c
mutton_taco_lettuce, #c2aa5c
mutton_taco_lettuce_taco_sauce, #d0a45f
mutton_wrap_lettuce_tomato, #deb468
nacho_bowl, #d6a01e
nacho_bowl_beef, #c58d22
nacho_bowl_beef_taco_sauce, #c07d23
nacho_bowl_sour_cream, #d9aa36
nacho_bowl_taco_sauce, #ca8920
onion_bacon_pizza, #ffc261
onion_bacon_pizza_slice, #f1ae41
onion_calzone, #ee9643
onion_pizza, #ffd675
onion_pizza_slice, #fabb4d
onion_rings, #ffd789
orange_gelatin_dessert_slice, #ffb16e
orange_gelatin_mix_bucket, #b4a191
paprika, #e03700
pasta, #f4c864
pasta_plate, #d0a751
pasta_plate_beef_meatballs, #a16c33
pasta_plate_butter, #e0b850
pasta_plate_cheese, #e4a837
pasta_plate_cheese_tomato_sauce, #e19b32
pasta_plate_chicken_cut, #cc9651
pasta_plate_chicken_cut_tomato_sauce, #c87a41
pasta_plate_eggplant, #d2a862
pasta_plate_endermite_meatballs, #a57a58
pasta_plate_endermite_meatballs_tomato_sauce, #a56444
pasta_plate_fish, #d79855
pasta_plate_fish_tomato_sauce, #d2844b
pasta_plate_mushroom, #cc9050
pasta_plate_mushroom_tomato_sauce, #c67947
pasta_plate_mutton_chop, #c89d52
pasta_plate_pork_meatballs, #a77632
pasta_plate_pork_meatballs_tomato_sauce, #a25e2c
pasta_plate_rabbit_meatballs, #b88347
pasta_plate_rabbit_meatballs_tomato_sauce, #af683c
pasta_plate_slime, #b1aa55
pasta_plate_slimeballs, #a29a4b
pasta_plate_squid_ink, #756576
pasta_plate_strider_meatballs, #a87539
pasta_plate_strider_meatballs_tomato_sauce, #a45f30
pasta_plate_tomato_sauce, #c98340
pastry_base, #ffa834
peanut_butter_apple_jam_sandwich, #c6973c
peanut_butter_chorus_fruit_jam_sandwich, #c28a44
peanut_butter_melon_jam_sandwich, #c58a3c
pink_gelatin_dessert_slice, #ffcaed
pink_gelatin_mix_bucket, #c8a2ae
piping_bag, #d4beb8
pita_bread, #fff8a2
pita_chip_bowl, #ae8744
pita_chips, #d4a858
pita_dough, #fffcd2
pizza_dough, #ffffd9
pizza_dough_tomato_sauce, #ee947a
pork_burrito_rice, #f7cc83
pork_meatball, #7f3007
pork_meatball_sandwich, #98681c
pork_meatball_stick_1, #6c3c11
pork_meatball_stick_2, #72330b
pork_meatball_stick_3, #753008
pork_stew_bowl, #a76b2f
pork_stew_bucket, #c8ab93
pork_taco, #f7c879
pork_taco_lettuce, #d4c06c
pork_taco_lettuce_taco_sauce, #ddb46b
pork_wrap_onion_lettuce, #e6c570
potato_chip_bowl, #a57915
potato_chips, #ffb500
potato_cream_soup_bowl, #9d733a
potato_cream_soup_bowl_cheese, #a77930
potato_cream_soup_bucket, #d4bea7
powdered_sugar, #ffffff
pressed_cocoa, #643e2a
pretzel_stick, #c0902c
pumpernickel_bread, #9e3e07
pumpernickel_bread_slice, #9d300b
pumpernickel_dough, #833722
pumpernickel_toast_cream_cheese, #cfa893
pumpernickel_toast_cream_cheese_beetroot, #9d524a
pumpernickel_toast_cream_cheese_beetroot_honey, #ae663c
pumpernickel_toast_cream_cheese_mushroom, #c8826b
pumpernickel_toast_cream_cheese_mushroom_bacon, #c87965
pumpernickel_toast_cream_cheese_salmon, #c58265
pumpernickel_toast_cream_cheese_salmon_onion, #d28e6f
pumpernickel_toast_slice, #833014
pumpkin_custard_bottle, #febcaf
pumpkin_custard_bucket, #d09b8a
pumpkin_pie_filling_bucket, #ddb589
pumpkin_pie_slice, #ffc051
pumpkin_puree_bottle, #ffffed
pumpkin_puree_bucket, #ddb68c
purple_gelatin_dessert_slice, #a154cc
purple_gelatin_mix_bucket, #a598ac
rabbit_burrito_rice, #fccc89
rabbit_calzone, #ee9643
rabbit_cuts, #ffd7c2
rabbit_jerky, #9b4a28
rabbit_meatball, #b96451
rabbit_meatball_sandwich, #a27028
rabbit_meatball_stick_1, #865130
rabbit_meatball_stick_2, #9d573d
rabbit_meatball_stick_3, #a55a44
rabbit_taco, #f4c076
rabbit_taco_lettuce, #d2bc6b
rabbit_taco_lettuce_taco_sauce, #dcb169
rabbit_wrap_onion_potato, #f5c679
ration_box, #bb8652
raw_apple_cheesecake, #fbac84
raw_apple_pie, #ffc891
raw_bacon_calzone, #fff7b9
raw_bacon_pizza, #ffbb5f
raw_beef_calzone, #fff7b9
raw_beef_meatball, #7c2923
raw_berry_cheesecake, #e69e76
raw_berry_cookie, #f8be9a
raw_berry_pie, #ffc296
raw_butterscotch_chip_chocolate_cookie, #be8a54
raw_butterscotch_chip_cookie, #ffd2a0
raw_calzone, #fff7b9
raw_caramel_chip_chocolate_cookie, #a77341
raw_caramel_chip_cookie, #f5bb8d
raw_cheese_calzone, #fff7b9
raw_cheese_pizza, #ffc962
raw_cheesecake, #fff7b8
raw_chicken_calzone, #fff7b9
raw_chicken_patty, #eb975e
raw_chocolate_chip_chocolate_cookie, #a27547
raw_chocolate_chip_cookie, #f1bb93
raw_chocolate_graham_cracker_pie_crust, #a26e5c
raw_chocolate_pastry_base, #e09757
raw_chocolate_pie, #fcb984
raw_chocolate_pie_graham_cracker, #e37f40
raw_chocolate_sweet_roll_base, #a47340
raw_chorus_fruit_cheesecake, #f4a1a4
raw_chorus_fruit_cookie, #f5bca8
raw_chorus_fruit_pie, #ffc2ae
raw_cinnamon_sweet_roll_base, #f8895c
raw_cream_pie_chocolate_graham_cracker, #e0b9a8
raw_cream_pie_graham_cracker, #ffbe8c
raw_dark_chocolate_chip_chocolate_cookie, #9d7246
raw_dark_chocolate_chip_cookie, #eab991
raw_endermite_meatball, #905aa4
raw_fish_bacon_pizza, #ffc57a
raw_fish_calzone, #fff7b9
raw_fish_onion_pizza, #ffe6a2
raw_fish_pizza, #ffcd7d
raw_fish_sticks, #d3a155
raw_fishcake, #ffc05b
raw_flesh_cookie, #ffb475
raw_ginger_cookie, #ffc58e
raw_glow_berry_cheesecake, #e6b673
raw_glow_berry_cookie, #ffcda1
raw_glow_berry_pie, #ffd48d
raw_graham_cracker_pie_crust, #d4722d
raw_green_tea_cookie, #96c898
raw_gyro_meat_block, #b17358
raw_honey_cookie, #fad09b
raw_macaroni, #ffd470
raw_meat_pie, #ffd487
raw_mini_chocolate_graham_cracker_pie_crust, #a16c5c
raw_mini_chocolate_pie_graham_cracker, #de7339
raw_mini_cream_pie_chocolate_graham_cracker, #ddb6a7
raw_mini_cream_pie_graham_cracker, #ffbc8c
raw_mini_graham_cracker_pie_crust, #dc702c
raw_mozzarella_sticks, #e0974e
raw_mushroom_bacon_pizza, #ffc578
raw_mushroom_calzone, #fff7b9
raw_mushroom_fish_pizza, #ffd28a
raw_mushroom_onion_pizza, #ffe39d
raw_mushroom_pizza, #ffcd82
raw_mutton_calzone, #fff7b9
raw_onion_bacon_pizza, #ffd389
raw_onion_calzone, #fff7b9
raw_onion_pizza, #ffeea5
raw_onion_rings, #ffebb1
raw_pastry_base, #ffbc58
raw_pie_crust, #fbc687
raw_pork_meatball, #9e3c0f
raw_pretzel_stick, #be9e5c
raw_pumpkin_pie, #ffd693
raw_rabbit_calzone, #fff7b9
raw_rabbit_meatball, #da7969
raw_sausage_bacon_pizza, #ffb55e
raw_sausage_calzone, #fff7b9
raw_sausage_fish_pizza, #ffc27a
raw_sausage_mushroom_pizza, #ffbf79
raw_sausage_onion_pizza, #ffe09d
raw_sausage_patty, #ae5137
raw_sausage_pizza, #ffbe61
raw_sausage_roll, #d7a570
raw_sausage_roll_cheese, #eab66f
raw_sausages, #9b5c4a
raw_scone, #fec586
raw_snickerdoodle, #ffd470
raw_soul_berry_cookie, #ebcf9d
raw_spicy_sausage_roll, #daa272
raw_spicy_sausage_roll_cheese, #edb472
raw_spicy_sausages, #833d3a
raw_spider_eye_cookie, #ffab84
raw_strider_meatball, #f05a3c
raw_sugar_cookie, #ffae5e
raw_sweet_roll_base, #ffc069
raw_tater_tots, #ffe493
raw_toffee_chip_chocolate_cookie, #a27346
raw_toffee_chip_cookie, #f0b991
raw_ube_cookie, #8e89c2
raw_white_chocolate_chip_chocolate_cookie, #b88a55
raw_white_chocolate_chip_cookie, #ffd0a0
red_gelatin_dessert_slice, #ff7366
red_gelatin_mix_bucket, #b19897
rice_pudding_bowl, #c6b18c
rice_pudding_bucket, #d0cdcc
salt, #ffffff
salt_dough, #fff0bc
salt_dough_small, #fcedb9
sausage_bacon_pizza, #feae33
sausage_bacon_pizza_slice, #eea21e
sausage_biscuit, #83552f
sausage_biscuit_bacon, #a05e3e
sausage_biscuit_cheese, #cf9025
sausage_biscuit_cheese_bacon, #bf7537
sausage_biscuit_cheese_fried_egg, #ca984e
sausage_biscuit_cheese_fried_egg_bacon, #bf7d50
sausage_biscuit_fried_egg, #b48954
sausage_biscuit_fried_egg_bacon, #b27352
sausage_biscuit_sandwich, #af8930
sausage_biscuit_sandwich_bacon, #c6913a
sausage_biscuit_sandwich_cheese, #bf8e2d
sausage_biscuit_sandwich_cheese_bacon, #bc8937
sausage_biscuit_sandwich_cheese_fried_egg, #c69634
sausage_biscuit_sandwich_cheese_fried_egg_bacon, #c8913c
sausage_biscuit_sandwich_fried_egg, #bc9439
sausage_biscuit_sandwich_fried_egg_bacon, #c0943a
sausage_bits, #80442d
sausage_calzone, #ee9643
sausage_fish_pizza, #feb44a
sausage_fish_pizza_slice, #f1a529
sausage_mushroom_pizza, #f5ae54
sausage_mushroom_pizza_slice, #eda23a
sausage_onion_pizza, #ffc86b
sausage_onion_pizza_slice, #f7ac3d
sausage_patty, #784733
sausage_pizza, #ffbb33
sausage_pizza_slice, #f7a71e
sausage_roll, #ca975b
sausage_roll_cheese, #eeb55b
scone, #f4ae66
scone_apple_jam, #f2be70
scone_berry_jam, #fcb186
scone_butter, #f4ac43
scone_chorus_fruit_jam, #e7938d
scone_glow_berry_jam, #ffb568
scone_melon_jam, #fa946b
scrambled_egg_sandwich, #daa129
scrambled_eggs_plate, #e3be4a
scrambled_eggs_plate_bacon, #e0b44e
scrambled_eggs_plate_cheese, #e1af3c
scrambled_eggs_plate_mushroom, #d49a4d
scrambled_eggs_plate_onion, #e4c365
scrambled_eggs_plate_sausage, #d7af46
scrambled_eggs_plate_tomato, #dda747
shredded_beetroot, #93143c
shredded_carrot, #ff9629
shredded_potato, #ffe478
sliced_beetroot, #b11c40
sliced_brown_mushroom, #d3a180
sliced_brown_mushroom_salt, #fcccb5
sliced_carrot, #ff8319
sliced_crimson_fungus, #b2463c
sliced_crimson_fungus_salt, #e3685b
sliced_onion, #fff4d2
sliced_potato, #f8c25c
sliced_red_mushroom, #ff7f62
sliced_red_mushroom_salt, #ffb6a7
sliced_tomato, #ff6261
sliced_warped_fungus, #708e6f
sliced_warped_fungus_salt, #98bb97
slime_bucket, #b8c8b5
small_beef_meatballs, #6b1204
small_endermite_meatballs, #76407f
small_pork_meatballs, #7d3200
small_rabbit_meatballs, #b55e46
small_slimeballs, #75b85c
small_strider_meatballs, #832c16
smore, #ff7c28
smores_pie, #e48036
smores_pie_slice, #d4763d
sour_cream_bottle, #ffffff
sour_cream_bucket, #eae4d2
spicy_chicken_nuggets, #ff4816
spicy_sausage_roll, #ca915b
spicy_sausage_roll_cheese, #eeb15b
spicy_sausages, #6b2f2a
squid_ink_bucket, #978aa2
strider_meatball, #aa391f
strider_meatball_sandwich, #966920
strider_meatball_stick_1, #6f3d19
strider_meatball_stick_2, #763419
strider_meatball_stick_3, #793018
sugar_cane_juice_bottle, #ffffff
sugar_cane_juice_bucket, #c6be9a
sugar_dough, #ffffd2
sugar_dough_small, #fffeca
sweet_roll_base, #ffab37
taco_sauce_bottle, #fee1eb
taco_sauce_bucket, #bf979a
taco_shell, #f0c373
tater_tots, #ffe36c
toast_fried_egg_plate, #b18440
toast_plate, #9a6915
toast_slice, #d49114
toffee, #aa5534
toffee_apple, #9b361c
toffee_apple_slice, #d79462
toffee_berries, #6b4033
toffee_bucket, #a78e7f
toffee_chip_chocolate_cookie, #89552d
toffee_chip_chocolate_milkshake_bottle, #e3bcc0
toffee_chip_cookie, #ffa151
toffee_chip_ice_cream_cone, #ffd49a
toffee_chip_milkshake_bottle, #f5feff
toffee_chip_mini_waffle, #f18a3e
toffee_chip_muffin, #e17007
toffee_chip_waffle, #ff9444
toffee_chips, #823c1b
toffee_chocolate, #c65f51
toffee_chocolate_pastry, #a86620
toffee_chocolate_sweet_roll, #864425
toffee_dark_chocolate, #6e341f
toffee_fudge, #b65c39
toffee_fudge_bucket, #b2937c
toffee_fudge_ice_cream_bowl, #b58e5b
toffee_marshmallow_stick, #ac7d55
toffee_pastry, #ff9e32
toffee_pretzel_stick, #c08430
toffee_sweet_roll, #b45e2c
toffee_toast, #9d642f
toffee_white_chocolate, #ffc39e
tomato_cream_soup_bowl, #945b2d
tomato_cream_soup_bucket, #c09a98
tortilla_chip_bowl, #a8833a
tropical_fish_slice, #ffc27f
ube_cake_base, #7d72cc
ube_cake_batter_bucket, #c0b6e6
ube_cream_frosting_bottle, #ccc3ff
ube_cream_frosting_bucket, #beb4e1
ube_cream_frosting_piping_bag, #e0aaff
ube_cream_ube_cake, #eeebff
ube_cream_ube_cake_slice, #b6aaff
ube_cream_ube_cupcake, #cab8ff
ube_cupcake_base, #a584f5
ube_sugar_dough, #d7bcff
unbreaded_chicken_patty, #ffe1cf
vegetable_oil_bucket, #b8b6a2
vegetable_sandwich_beetroot_lettuce, #b18734
vegetable_sandwich_lettuce_tomato, #bb8d3a
vegetable_wrap_onion_lettuce_tomato, #e3b96e
vinegar_bottle, #ffffff
vinegar_bucket, #bbbbb9
waffle, #ff9846
waffle_batter_bucket, #eae3cf
waffle_cone, #ff9440
wheat_dough_small, #fff7bf
white_chocolate_apple, #f09d6b
white_chocolate_apple_slice, #ffebb2
white_chocolate_berries, #fbd39a
white_chocolate_bottle, #ffffff
white_chocolate_bucket, #d6c6ae
white_chocolate_chip_chocolate_cookie, #966b3c
white_chocolate_chip_chocolate_milkshake_bottle, #f0cac9
white_chocolate_chip_cookie, #ffb55e
white_chocolate_chip_ice_cream_cone, #ffdea1
white_chocolate_chip_milkshake_bottle, #ffffff
white_chocolate_chip_mini_waffle, #fe9e4b
white_chocolate_chip_muffin, #e7790c
white_chocolate_chip_waffle, #ff9d4a
white_chocolate_chips, #fff1a8
white_chocolate_chocolate_pastry, #b2732a
white_chocolate_fudge, #ffe4bb
white_chocolate_fudge_bucket, #d7cab5
white_chocolate_marshmallow_stick, #e6cda1
white_chocolate_pastry, #ffac3d
white_chocolate_pretzel_stick, #ebbf68
white_chocolate_toast, #eac27a
yellow_gelatin_dessert_slice, #ffff75
yellow_gelatin_mix_bucket, #c9bf91
yogurt_bottle, #ffffff
yogurt_bowl, #ccb587
yogurt_bowl_berry, #c89a72
yogurt_bowl_chorus_fruit, #c39886
yogurt_bowl_glow_berry, #c8a572
yogurt_bowl_honey, #ccae69
yogurt_bucket, #d0c5b9
